word,example
pick,he used a pick to clean the dirt out of the cracks
line,the line of soldiers advanced with their bayonets fixed
pipe,"pipe oil, water, and gas into the desert"
tip,he got a tip on the stock market
mix,paste made by a mix of flour and water
side,they always sat on the right side of the church
hike,she enjoys a hike in her spare time
made,bought some made goods at the local store; rope and nails
all,we sat up all night
any,give me any peaches you don't want
check,they made a check of their equipment
choose,I always choose the fish over the meat courses in this restaurant
cost,These shoes cost $100
spend,spend money
safety,insure the safety of the children
male,a male infant
back,his back was nicely tanned
rake,rake gravel
still,still the fears
belt,a belt of high pressure
done,it's a done deed
bag,his bag included two deer
cap,We had to cap the number of people we can accept into our club
bake,bake the potatoes
make,"make love, not war"
little,he accepted the little they gave him
have,have a postdoc
look,his look was fixed on her eyes
words,I listened to his words very closely
there,they have lived there for years
use,he warned against the use of narcotic drugs
each,each person is mortal
other,today isn't any other day
about,let's look about for help
many,many temptations
then,we were friends from then on
some,have some milk
time,this time he succeeded
more,more land
write,Please write to me every week
number,he had a number of chores to do
people,there were at least 200 people in the audience
first,the first of the month
find,We find this idea in Plato
now,President Kennedy now calls in the National Guard
long,a long life
down,The mugger knocked down the old lady after she refused to hand over her wallet
day,it should arrive any day now
come,come down here!
part,he wanted to feel a part of something bigger than himself
hive,bees hive honey and pollen
finished,a finished product
sideways,turned sideways to show the profile
box,he rummaged through a box of spare parts
dog,the dog barked all night
lock,lock the bike to the fence
cone,cone a tire
home,he doesn't have a home to go to
nose,the nose of the rocket heated up on reentry
poke,poke the embers in the fireplace
rope,rope the bag securely
off,an off year for tennis
climate,the dank climate of southern Wales
eager,eager to learn
fresh,fresh bread
sense,a sense of security
silence,he needed silence in order to sleep
believe,We didn't believe his stories from the War
feast,a feast for the eyes
fond,fond of chocolate
remarkable,a remarkable sight
cub,bears cub every year
hum,the hum of distant traffic
huge,huge government spending
must,a book that is must reading
fun,I do it for the fun of it
buried,the hastily buried corpses
escape,he made his escape from the mental hospital
nature,it is the nature of fire to burn
restless,the restless sea
chop,chop meat
catch,it sounds good but what's the catch?
shape,shape a figure
trash,trash these old chairs
sting,the sting of death
thin,thin wire
bring,bring water to the boiling point
place,who owns this place?
badge,they checked everyone's badge before letting them in
early,early morning
scratch,a golfer who plays at scratch should be able to achieve par on a course
scrape,the scrape of violin bows distracted her
spring,he will hold office until the spring of next year
stripe,businessmen of every stripe joined in opposition to the proposal
strange,a strange exaltation that was indefinable
splash,her red hat gave her outfit a splash of color
split,he demanded his split before they disbanded
far,we come from a far country
express,he caught the express to New York
rhythm,the rhythm of Frost's poetry
choice,your choice of colors was unfortunate
talk,let's have more work and less talk around here
did,I did it
fin,We could see the fin of a shark as it slowly circled our boat
five,I have five apples in the bag
cape,A cape of gray velvet hung from his shoulders
says,Daddy says I look just like Mom
chores,The children were each assigned different household chores
customers,I thought you planned to have paying customers in it this summer
jobs,There are lot of jobs in Indiana
tools,All people would have tools to make them more productive
flames,He gazed into the black flames of the fire in the hearth
vat,A stone dropped from the ceiling into the vat of hot oil
ate,She ate the meat and drank some of the cool water
clapping,He jumped up and down clapping his hands
making,They were making progress
into,The little fellow ran into the street
your,What is your father's name
ham,Would you like another slice of ham
mad,"I'm mad at you, he said, narrowing his eyes"
they,They had two adopted children already
this,This is our planting-ground
from,Is the ranch far from here
what,What a pleasant surprise
were,I don't know where they were planning to sit
which,"The dining room was directly off the kitchen, which was also lavish"
their,The red one is their house
them,"After lunch, all four of them went outside to play ball"
these,You'll have to show me these beautiful flowers
would,That would be the best way
water,She heard the gurgling water before the creek came into view
been,She was uneasy because she had never been on a plane before
called,I wish you had called me
that,That is what I am talking about
its,The tire had lost its air
may,They may be too busy running
picked,He picked up his coffee
times,The phone rang ten times before Lisa gave up
rips,He rips the page out of the magazine
smiling,She was still smiling when she walked back into the kitchen
bricks,This house is made of bricks
hiked,"I hiked up the path, all the way to the reservoir"
fox,I saw a fox on the trail
pot,There's some fresh tea in the pot
took,what took you so long
adapt,How long would it take her to adapt to this culture
freedom,It's my freedom of choice
shadows,The sun made long shadows of her figure as she walked to the house
delicious,"A delicious Sundae would be nice, right now"
lessons,It's the lessons we learned from the past
snatch,He reached out to snatch the ball from me
stories,I can read stories in my book
mule,The average height of a mule is 122 hands
fuse,Light the firecracker fuse
